team_id,team_name,season,conference,rpi_rank,sos_rank,nonconference_rpi_rank,nonconference_sos_rank,conference_wins,conference_losses,conference_win_pct,overall_wins,overall_losses,overall_win_pct,nonconference_wins,nonconference_losses,nonconference_win_pct,home_wins,home_losses,home_win_pct,road_wins,road_losses,road_win_pct,neutral_wins,neutral_losses,neutral_win_pct,q1_wins,q1_losses,q1_win_pct,q2_wins,q2_losses,q2_win_pct,q3_wins,q3_losses,q3_win_pct,q4_wins,q4_losses,q4_win_pct
IPEDS:106397,Arkansas,2021,SEC,1,1,3,42,22,8,0.7333,50,13,0.7937,20,2,0.9091,30,8,0.7895,13,5,0.7222,7,0,1.0,30,10,0.75,6,2,0.75,6,1,0.8571,8,0,1.0
IPEDS:176080,Mississippi State,2021,SEC,2,2,5,37,20,10,0.6667,50,18,0.7353,20,3,0.8696,30,9,0.7692,12,4,0.75,8,5,0.6154,22,14,0.6111,10,1,0.9091,9,3,0.75,9,0,1.0
IPEDS:221999,Vanderbilt,2021,SEC,3,4,10,80,19,10,0.6552,49,18,0.7313,20,3,0.8696,32,6,0.8421,12,7,0.6316,5,5,0.5,27,15,0.6429,2,2,0.5,9,0,1.0,11,1,0.9167
IPEDS:228778,Texas,2021,Big 12,4,16,17,56,17,7,0.7083,50,17,0.7463,23,6,0.7931,32,5,0.8649,13,5,0.7222,5,7,0.4167,17,11,0.6071,17,4,0.8095,1,0,1.0,15,2,0.8824
IPEDS:152080,Notre Dame,2021,ACC,5,23,1,16,25,10,0.7143,34,13,0.7234,4,0,1.0,17,6,0.7391,16,6,0.7273,1,1,0.5,18,8,0.6923,11,4,0.7333,2,1,0.6667,3,0,1.0
IPEDS:221759,Tennessee,2021,SEC,6,13,22,111,20,10,0.6667,50,18,0.7353,22,4,0.8462,31,9,0.775,16,5,0.7619,3,4,0.4286,23,15,0.6053,9,2,0.8182,6,0,1.0,12,1,0.9231
IPEDS:243744,Stanford,2021,Pac-12,7,14,11,52,17,10,0.6296,39,17,0.6964,16,4,0.8,24,6,0.8,14,9,0.6087,1,2,0.3333,18,9,0.6667,6,3,0.6667,6,2,0.75,9,3,0.75
IPEDS:104179,Arizona,2021,Pac-12,8,15,23,33,21,9,0.7,45,18,0.7143,19,6,0.76,32,8,0.8,9,8,0.5294,4,2,0.6667,16,12,0.5714,10,5,0.6667,8,0,1.0,11,1,0.9167
IPEDS:129242,Fairfield,2021,MAAC,9,116,238,26,33,1,0.9706,39,5,0.8864,0,0,,27,3,0.9,10,1,0.9091,2,1,0.6667,1,2,0.3333,14,2,0.875,4,0,1.0,20,1,0.9524
IPEDS:228875,TCU,2021,Big 12,10,12,43,86,17,7,0.7083,41,19,0.6833,19,9,0.6786,20,9,0.6897,14,6,0.7,7,4,0.6364,15,10,0.6,12,4,0.75,7,4,0.6364,7,1,0.875
IPEDS:176017,Ole Miss,2021,SEC,11,8,35,127,18,12,0.6,45,22,0.6716,20,5,0.8,30,10,0.75,9,10,0.4737,6,2,0.75,22,16,0.5789,3,4,0.4286,7,1,0.875,13,1,0.9286
IPEDS:199193,North Carolina State,2021,ACC,12,11,2,8,19,14,0.5758,37,19,0.6607,9,1,0.9,13,12,0.52,19,4,0.8261,5,3,0.625,16,12,0.5714,12,6,0.6667,4,1,0.8,5,0,1.0
IPEDS:232982,Old Dominion,2021,Conference USA,13,40,13,31,22,10,0.6875,44,16,0.7333,16,4,0.8,22,8,0.7333,18,7,0.72,4,1,0.8,15,8,0.6522,8,5,0.6154,6,2,0.75,15,1,0.9375
IPEDS:229115,Texas Tech,2021,Big 12,14,17,12,84,14,10,0.5833,39,17,0.6964,21,3,0.875,27,7,0.7941,7,5,0.5833,5,5,0.5,16,11,0.5926,11,6,0.6471,2,0,1.0,10,0,1.0
IPEDS:198464,East Carolina,2021,American Athletic,15,41,8,38,20,8,0.7143,44,17,0.7213,18,5,0.7826,30,4,0.8824,11,11,0.5,3,2,0.6,7,4,0.6364,24,11,0.6857,1,1,0.5,12,1,0.9231
IPEDS:207388,Oklahoma State,2021,Big 12,16,10,19,64,12,12,0.5,36,19,0.6545,20,4,0.8333,23,8,0.7419,8,7,0.5333,5,4,0.5556,6,13,0.3158,20,4,0.8333,4,2,0.6667,6,0,1.0
IPEDS:209551,Oregon,2021,Pac-12,17,46,39,176,20,10,0.6667,39,16,0.7091,17,4,0.8095,23,9,0.7188,16,7,0.6957,0,0,,17,9,0.6538,3,3,0.5,3,1,0.75,16,3,0.8421
IPEDS:209542,Oregon State,2021,Pac-12,18,21,25,48,16,14,0.5333,37,24,0.6066,18,8,0.6923,17,9,0.6538,15,12,0.5556,5,3,0.625,10,18,0.3571,9,2,0.8182,3,1,0.75,15,3,0.8333
IPEDS:159391,LSU,2021,SEC,19,3,24,91,13,17,0.4333,38,25,0.6032,21,4,0.84,24,14,0.6316,12,9,0.5714,2,2,0.5,12,18,0.4,9,3,0.75,11,3,0.7857,6,1,0.8571
IPEDS:218663,South Carolina,2021,SEC,20,5,33,108,16,14,0.5333,34,23,0.5965,17,6,0.7391,23,10,0.697,10,11,0.4762,1,2,0.3333,12,20,0.375,8,1,0.8889,7,1,0.875,7,1,0.875
IPEDS:198419,Duke,2021,ACC,21,20,4,18,16,17,0.4848,33,22,0.6,12,3,0.8,17,7,0.7083,11,13,0.4583,5,2,0.7143,12,15,0.4444,14,5,0.7368,2,2,0.5,5,0,1.0
IPEDS:176372,Southern Miss,2021,Conference USA,22,35,40,32,22,9,0.7097,40,21,0.6557,13,8,0.619,22,8,0.7333,15,11,0.5769,3,2,0.6,9,11,0.45,6,5,0.5455,12,3,0.8,13,2,0.8667
IPEDS:110662,UCLA,2021,Pac-12,23,33,32,90,18,12,0.6,37,20,0.6491,17,6,0.7391,21,9,0.7,14,10,0.5833,2,1,0.6667,15,10,0.6,3,3,0.5,7,3,0.7,12,4,0.75
IPEDS:110653,UC Irvine,2021,Big West,24,86,26,5,32,8,0.8,43,18,0.7049,8,8,0.5,23,4,0.8519,18,14,0.5625,2,0,1.0,9,9,0.5,3,2,0.6,2,2,0.5,29,5,0.8529
IPEDS:129020,Connecticut,2021,Big East,25,55,38,63,13,4,0.7647,34,19,0.6415,17,12,0.5862,16,1,0.9412,13,15,0.4643,5,3,0.625,2,10,0.1667,8,3,0.7273,13,4,0.7647,11,2,0.8462
IPEDS:134130,Florida,2021,SEC,26,26,59,150,17,13,0.5667,38,22,0.6333,18,6,0.75,28,9,0.7568,7,12,0.3684,3,1,0.75,11,15,0.4231,9,4,0.6923,10,2,0.8333,8,1,0.8889
IPEDS:234076,Virginia,2021,ACC,27,9,15,9,18,18,0.5,36,27,0.5714,9,4,0.6923,17,12,0.5862,12,11,0.5217,7,4,0.6364,17,20,0.4595,10,6,0.625,4,1,0.8,5,0,1.0
IPEDS:235316,Gonzaga,2021,West Coast,28,52,14,7,20,7,0.7407,34,19,0.6415,13,10,0.5652,15,5,0.75,16,11,0.5926,3,3,0.5,6,10,0.375,4,3,0.5714,4,2,0.6667,20,4,0.8333
IPEDS:159647,Louisiana Tech,2021,Conference USA,29,39,28,29,22,8,0.7333,42,20,0.6774,14,8,0.6364,25,14,0.641,16,6,0.7273,1,0,1.0,10,13,0.4348,9,1,0.9,7,3,0.7,16,3,0.8421
IPEDS:181464,Nebraska,2021,Big Ten,30,87,109,1,31,12,0.7209,34,14,0.7083,0,0,,10,5,0.6667,14,5,0.7368,10,4,0.7143,2,2,0.5,7,4,0.6364,11,6,0.6471,14,2,0.875
IPEDS:234030,VCU,2021,Atlantic 10,31,104,34,104,13,3,0.8125,38,16,0.7037,21,11,0.6562,20,3,0.8696,17,12,0.5862,1,1,0.5,6,6,0.5,2,4,0.3333,5,5,0.5,25,1,0.9615
IPEDS:135726,Miami (FL),2021,ACC,32,32,6,59,20,15,0.5714,33,21,0.6111,12,2,0.8571,18,7,0.72,14,10,0.5833,1,4,0.2,12,11,0.5217,15,8,0.6522,3,2,0.6,3,0,1.0
IPEDS:206604,Wright State,2021,Horizon League,33,114,163,11,28,4,0.875,32,13,0.7111,1,7,0.125,18,1,0.9474,13,9,0.5909,1,3,0.25,0,7,0.0,1,2,0.3333,10,3,0.7692,21,1,0.9545
IPEDS:199139,Charlotte,2021,Conference USA,34,51,53,62,24,8,0.75,40,21,0.6557,15,9,0.625,27,6,0.8182,12,12,0.5,1,3,0.25,6,8,0.4286,13,8,0.619,10,2,0.8333,11,3,0.7857
IPEDS:232557,Liberty,2021,ASUN,35,131,18,14,19,2,0.9048,41,16,0.7193,16,10,0.6154,24,2,0.9231,14,12,0.5385,3,2,0.6,9,11,0.45,7,1,0.875,7,1,0.875,18,3,0.8571
IPEDS:100751,Alabama,2021,SEC,36,6,29,76,12,17,0.4138,32,26,0.5517,17,5,0.7727,19,13,0.5938,10,10,0.5,3,3,0.5,8,19,0.2963,7,2,0.7778,13,3,0.8125,4,2,0.6667
IPEDS:198136,Campbell,2021,Big South,37,72,55,13,28,9,0.7568,37,18,0.6727,5,5,0.5,22,5,0.8148,11,10,0.5238,4,3,0.5714,3,6,0.3333,7,1,0.875,8,7,0.5333,19,4,0.8261
IPEDS:151324,Indiana State,2021,Missouri Valley,38,68,31,121,14,10,0.5833,31,21,0.5962,13,7,0.65,5,3,0.625,21,12,0.6364,5,6,0.4545,3,9,0.25,7,6,0.5385,7,1,0.875,14,5,0.7368
IPEDS:167358,Northeastern,2021,Colonial Athletic,39,179,74,169,20,3,0.8696,36,12,0.75,12,6,0.6667,21,2,0.913,13,8,0.619,2,2,0.5,1,3,0.25,4,3,0.5714,0,2,0.0,31,4,0.8857
IPEDS:104151,Arizona State,2021,Pac-12,40,29,30,53,16,14,0.5333,33,22,0.6,16,6,0.7273,22,11,0.6667,10,10,0.5,1,1,0.5,8,13,0.381,9,3,0.75,4,2,0.6667,12,4,0.75
IPEDS:139755,Georgia Tech,2021,ACC,41,25,101,81,21,15,0.5833,31,25,0.5536,7,6,0.5385,15,13,0.5357,13,10,0.5652,3,2,0.6,15,13,0.5357,12,7,0.6316,1,3,0.25,3,2,0.6
IPEDS:224226,Dallas Baptist,2021,Missouri Valley,42,61,89,75,18,6,0.75,41,18,0.6949,15,9,0.625,25,11,0.6944,6,3,0.6667,10,4,0.7143,11,7,0.6111,4,4,0.5,6,4,0.6,20,3,0.8696
IPEDS:182290,Nevada,2021,Mountain West,43,48,97,27,22,9,0.7097,25,20,0.5556,3,9,0.25,13,4,0.7647,12,14,0.4615,0,2,0.0,0,6,0.0,12,7,0.6316,0,3,0.0,13,4,0.7647
IPEDS:139959,Georgia,2021,SEC,44,22,60,151,13,17,0.4333,31,25,0.5536,17,6,0.7391,20,13,0.6061,10,10,0.5,1,2,0.3333,8,15,0.3478,6,4,0.6,9,5,0.6429,8,1,0.8889
IPEDS:134097,Florida State,2021,ACC,45,28,72,57,20,16,0.5556,31,24,0.5636,9,5,0.6429,18,13,0.5806,11,9,0.55,2,2,0.5,15,10,0.6,9,10,0.4737,7,3,0.7,0,1,0.0
IPEDS:199120,North Carolina,2021,ACC,46,7,52,21,18,18,0.5,28,27,0.5091,8,6,0.5714,19,10,0.6552,6,15,0.2857,3,2,0.6,13,19,0.4062,9,6,0.6,3,2,0.6,3,0,1.0
IPEDS:223232,Baylor,2021,Big 12,47,47,48,207,11,13,0.4583,31,20,0.6078,20,5,0.8,23,6,0.7931,7,10,0.4118,1,4,0.2,4,9,0.3077,8,8,0.5,7,1,0.875,12,2,0.8571
IPEDS:110705,UC Santa Barbara,2021,Big West,48,89,62,34,29,11,0.725,41,20,0.6721,10,7,0.5882,22,11,0.6667,17,9,0.6538,2,0,1.0,4,11,0.2667,2,2,0.5,10,1,0.9091,25,6,0.8065
IPEDS:169248,Central Michigan,2021,Mid-American,49,195,36,97,31,9,0.775,41,18,0.6949,8,7,0.5333,16,4,0.8,23,14,0.6216,2,0,1.0,3,6,0.3333,3,1,0.75,6,2,0.75,29,9,0.7632
IPEDS:150136,Ball State,2021,Mid-American,50,160,20,24,29,11,0.725,38,18,0.6786,9,7,0.5625,18,4,0.8182,18,13,0.5806,2,1,0.6667,4,7,0.3636,2,1,0.6667,4,3,0.5714,28,7,0.8
