team_id,team_name,season,conference,rpi_rank,sos_rank,nonconference_rpi_rank,nonconference_sos_rank,conference_wins,conference_losses,conference_win_pct,overall_wins,overall_losses,overall_win_pct,nonconference_wins,nonconference_losses,nonconference_win_pct,home_wins,home_losses,home_win_pct,road_wins,road_losses,road_win_pct,neutral_wins,neutral_losses,neutral_win_pct,q1_wins,q1_losses,q1_win_pct,q2_wins,q2_losses,q2_win_pct,q3_wins,q3_losses,q3_win_pct,q4_wins,q4_losses,q4_win_pct
IPEDS:221759,Tennessee,2024,SEC,1,12,10,73,22,8,0.7333,60,13,0.8219,24,2,0.9231,40,4,0.9091,9,6,0.6,11,3,0.7857,26,10,0.7222,9,1,0.9,5,1,0.8333,20,1,0.9524
IPEDS:228723,Texas A&M,2024,SEC,2,6,1,82,19,11,0.6333,53,15,0.7794,25,0,1.0,37,3,0.925,9,8,0.5294,7,4,0.6364,18,15,0.5455,9,0,1.0,7,0,1.0,19,0,1.0
IPEDS:157085,Kentucky,2024,SEC,3,4,13,29,22,8,0.7333,46,16,0.7419,17,4,0.8095,26,6,0.8125,16,5,0.7619,4,5,0.4444,20,10,0.6667,13,3,0.8125,5,2,0.7143,8,1,0.8889
IPEDS:199120,North Carolina,2024,ACC,4,11,12,21,22,8,0.7333,48,16,0.75,19,4,0.8261,37,3,0.925,9,8,0.5294,2,5,0.2857,11,12,0.4783,8,3,0.7273,16,1,0.9412,13,0,1.0
IPEDS:134097,Florida State,2024,ACC,5,18,2,27,17,12,0.5862,49,17,0.7424,22,2,0.9167,32,4,0.8889,8,10,0.4444,9,3,0.75,11,10,0.5238,11,5,0.6875,13,1,0.9286,14,1,0.9333
IPEDS:106397,Arkansas,2024,SEC,6,16,7,49,20,10,0.6667,44,16,0.7333,23,2,0.92,34,5,0.8718,7,8,0.4667,3,3,0.5,15,13,0.5357,6,2,0.75,6,0,1.0,17,1,0.9444
IPEDS:139959,Georgia,2024,SEC,7,10,4,54,17,13,0.5667,43,17,0.7167,22,1,0.9565,33,7,0.825,8,9,0.4706,2,1,0.6667,9,14,0.3913,16,1,0.9412,2,0,1.0,16,2,0.8889
IPEDS:217882,Clemson,2024,ACC,8,20,8,26,20,10,0.6667,44,16,0.7333,20,3,0.8696,30,8,0.7895,10,7,0.5882,4,1,0.8,8,9,0.4706,16,3,0.8421,13,4,0.7647,7,0,1.0
IPEDS:234076,Virginia,2024,ACC,9,24,9,67,18,12,0.6,46,17,0.7302,22,2,0.9167,31,7,0.8158,11,5,0.6875,4,5,0.4444,8,9,0.4706,14,6,0.7,11,1,0.9167,13,1,0.9286
IPEDS:134130,Florida,2024,SEC,10,1,36,4,13,17,0.4333,36,30,0.5455,15,9,0.625,19,13,0.5938,13,13,0.5,4,4,0.5,21,21,0.5,2,6,0.25,1,1,0.5,12,2,0.8571
IPEDS:151324,Indiana State,2024,Missouri Valley,11,62,6,17,22,5,0.8148,44,15,0.7458,17,6,0.7391,16,2,0.8889,17,10,0.6296,11,3,0.7857,4,7,0.3636,7,3,0.7,20,4,0.8333,13,1,0.9286
IPEDS:199193,North Carolina State,2024,ACC,12,3,44,12,18,11,0.6207,38,23,0.623,14,8,0.6364,28,7,0.8,9,13,0.4091,1,3,0.25,15,15,0.5,5,5,0.5,8,3,0.7273,10,0,1.0
IPEDS:209542,Oregon State,2024,Pac-12,13,55,3,30,19,10,0.6552,45,16,0.7377,22,3,0.88,27,2,0.931,9,12,0.4286,9,2,0.8182,6,5,0.5455,6,7,0.4615,17,3,0.85,16,1,0.9412
IPEDS:199847,Wake Forest,2024,ACC,14,8,11,52,15,15,0.5,38,22,0.6333,21,4,0.84,25,7,0.7812,10,12,0.4545,3,3,0.5,8,15,0.3478,10,5,0.6667,7,2,0.7778,13,0,1.0
IPEDS:159391,LSU,2024,SEC,15,13,16,66,13,17,0.4333,43,23,0.6515,23,3,0.8846,27,9,0.75,7,13,0.35,9,1,0.9,10,16,0.3846,13,4,0.7647,6,1,0.8571,14,2,0.875
IPEDS:207388,Oklahoma State,2024,Big 12,16,30,43,103,19,9,0.6786,42,19,0.6885,17,7,0.7083,23,7,0.7667,12,10,0.5455,7,2,0.7778,12,14,0.4615,9,3,0.75,8,0,1.0,13,2,0.8667
IPEDS:110705,UC Santa Barbara,2024,Big West,17,90,38,93,26,4,0.8667,44,14,0.7586,16,8,0.6667,27,2,0.931,16,12,0.5714,1,0,1.0,4,3,0.5714,8,6,0.5714,8,4,0.6667,24,1,0.96
IPEDS:207500,Oklahoma,2024,Big 12,18,17,81,9,23,7,0.7667,40,21,0.6557,11,11,0.5,21,12,0.6364,14,5,0.7368,5,4,0.5556,10,7,0.5882,15,8,0.6522,6,4,0.6,9,2,0.8182
IPEDS:176080,Mississippi State,2024,SEC,19,15,42,70,17,13,0.5667,40,23,0.6349,19,6,0.76,25,9,0.7353,8,11,0.4211,7,3,0.7,14,15,0.4828,5,2,0.7143,10,1,0.9091,11,5,0.6875
IPEDS:198419,Duke,2024,ACC,20,26,48,203,16,14,0.5333,40,20,0.6667,19,4,0.8261,22,10,0.6875,11,9,0.55,7,1,0.875,13,14,0.4815,6,3,0.6667,7,0,1.0,14,3,0.8235
IPEDS:224226,Dallas Baptist,2024,Conference USA,21,81,22,63,17,7,0.7083,45,15,0.75,23,6,0.7931,25,5,0.8333,14,7,0.6667,6,3,0.6667,10,3,0.7692,5,9,0.3571,10,2,0.8333,20,1,0.9524
IPEDS:122436,San Diego,2024,West Coast,22,86,21,8,20,4,0.8333,41,15,0.7321,17,9,0.6538,18,4,0.8182,18,10,0.6429,5,1,0.8333,3,10,0.2308,7,3,0.7,6,0,1.0,25,2,0.9259
IPEDS:218663,South Carolina,2024,SEC,23,7,27,120,13,17,0.4333,37,25,0.5968,20,4,0.8333,22,10,0.6875,9,11,0.45,6,4,0.6,12,21,0.3636,7,2,0.7778,4,1,0.8,14,1,0.9333
IPEDS:198464,East Carolina,2024,American Athletic,24,65,5,7,19,8,0.7037,46,17,0.7302,21,5,0.8077,29,6,0.8286,13,9,0.5909,4,2,0.6667,6,2,0.75,2,7,0.2222,18,5,0.7826,20,3,0.8696
IPEDS:110653,UC Irvine,2024,Big West,25,95,15,87,22,8,0.7333,45,14,0.7627,21,4,0.84,20,7,0.7407,20,7,0.7407,5,0,1.0,4,3,0.5714,7,2,0.7778,16,6,0.7273,18,3,0.8571
IPEDS:221999,Vanderbilt,2024,SEC,26,14,31,159,13,17,0.4333,38,23,0.623,22,3,0.88,27,8,0.7714,4,12,0.25,7,3,0.7,11,19,0.3667,2,0,1.0,8,1,0.8889,17,3,0.85
IPEDS:176372,Southern Miss,2024,Sun Belt,27,45,35,22,20,10,0.6667,43,20,0.6825,17,8,0.68,25,6,0.8065,12,10,0.5455,6,4,0.6,7,9,0.4375,13,5,0.7222,9,2,0.8182,14,4,0.7778
IPEDS:100751,Alabama,2024,SEC,28,9,33,151,13,17,0.4333,33,24,0.5789,20,4,0.8333,22,8,0.7333,8,12,0.4,3,4,0.4286,15,21,0.4167,2,0,1.0,3,2,0.6,13,1,0.9286
IPEDS:181464,Nebraska,2024,Big Ten,29,40,34,14,16,8,0.6667,40,22,0.6452,18,11,0.6207,18,8,0.6923,15,9,0.625,7,5,0.5833,3,3,0.5,15,12,0.5556,16,5,0.7619,6,2,0.75
IPEDS:132903,UCF,2024,Big 12,30,34,17,96,14,15,0.4828,37,21,0.6379,19,3,0.8636,21,9,0.7,12,11,0.5217,4,1,0.8,5,10,0.3333,9,5,0.6429,13,4,0.7647,10,2,0.8333
