year,rank,name,position,school,team_id,is_college,age,bats,throws,current_level
2023,1,Paul Skenes,RHP,Louisiana State,IPEDS:159391,True,23,R,R,MLB
2023,2,Dylan Crews,OF,Louisiana State,IPEDS:159391,True,24,R,R,AAA
2023,3,Wyatt Langford,OF,Florida,IPEDS:134130,True,24,R,R,MLB
2023,4,Walker Jenkins,OF,South Brunswick (NC),,False,21,L,R,AAA
2023,5,Max Clark,OF,Franklin (IN),,False,21,L,L,AAA
2023,6,Rhett Lowder,RHP,Wake Forest,IPEDS:199847,True,24,R,R,MLB
2023,7,Kyle Teel,C,Virginia,IPEDS:234076,True,24,L,R,MLB
2023,8,Noble Meyer,RHP,Jesuit (OR),,False,21,R,R,A+
2023,9,Chase Dollander,RHP,Tennessee,IPEDS:221759,True,24,R,R,MLB
2023,10,Jacob Wilson,SS,Grand Canyon,IPEDS:104717,True,24,R,R,MLB
2023,11,Arjun Nimmala,SS,Strawberry Crest (FL),,False,20,R,R,AA
2023,12,Colin Houck,SS/3B,Parkview (GA),,False,21,R,R,A+
2023,13,Aidan Miller,SS,Mitchell (FL),,False,21,R,R,AAA
2023,14,Blake Mitchell,C,Sinton (TX),,False,21,L,R,A+
2023,15,Brayden Taylor,INF,Texas Christian,IPEDS:228875,True,23,L,R,AA
2023,16,Matt Shaw,INF,Maryland,IPEDS:163286,True,24,R,R,MLB
2023,17,Tommy Troy,2B/OF,Stanford,IPEDS:243744,True,24,R,R,AAA
2023,18,Jacob Gonzalez,INF,Mississippi,IPEDS:176017,True,23,L,R,AAA
2023,19,Hurston Waldrep,RHP,Florida,IPEDS:134130,True,24,R,R,MLB
2023,20,Yohandy Morales,1B/3B,Miami,IPEDS:135726,True,24,R,R,AAA
2023,21,Enrique Bradfield Jr.,OF,Vanderbilt,IPEDS:221999,True,24,L,L,AAA
2023,22,Chase Davis,OF,Arizona,IPEDS:104179,True,24,L,L,AA
2023,23,Bryce Eldridge,1B,Madison (VA),,False,21,L,R,MLB
