year,rank,name,position,school,team_id,is_college,age,bats,throws,current_level
2026,1,Grady Emerson,SS,Fort Worth Christian (TX),,False,18,L,R,
2026,2,Roch Cholowsky,SS,UCLA,IPEDS:110662,True,21,R,R,ROK
2026,3,Vahn Lackey,C,Georgia Tech,IPEDS:139755,True,21,R,R,
2026,4,Jackson Flora,RHP,UC Santa Barbara,IPEDS:110705,True,21,R,R,
2026,5,Jacob Lombard,SS,Gulliver Prep (FL),,False,18,R,R,
2026,6,Eric Booth Jr.,OF,Oak Grove (MS),,False,18,L,L,
2026,7,Drew Burress,OF,Georgia Tech,IPEDS:139755,True,21,R,R,
2026,8,Gio Rojas,LHP,Stoneman Douglas (FL),,False,19,R,L,
2026,9,Justin Lebron,SS,Alabama,IPEDS:100751,True,21,R,R,
2026,10,Tyler Bell,SS,Kentucky,IPEDS:157085,True,21,S,R,
2026,11,Ryder Helfrick,C,Arkansas,IPEDS:106397,True,21,R,R,
2026,12,Derek Curiel,OF,Louisiana State,IPEDS:159391,True,21,L,L,
2026,13,Trevor Condon,OF,Etowah (GA),,False,18,L,R,
2026,14,Chris Hacopian,2B,Texas A&M,IPEDS:228723,True,21,R,R,
2026,15,Cameron Flukey,RHP,Coastal Carolina,IPEDS:218724,True,21,R,R,
2026,16,Jared Grindlinger,LHP/OF,Huntington Beach (CA),,False,17,L,L,
2026,17,Hunter Dietz,LHP,Arkansas,IPEDS:106397,True,21,R,L,ROK
2026,18,Ace Reese,3B,Mississippi State,IPEDS:176080,True,21,L,R,
2026,19,AJ Gracia,OF,Virginia,IPEDS:234076,True,21,L,L,ROK
2026,20,Liam Peterson,RHP,Florida,IPEDS:134130,True,21,R,R,
2026,21,Bo Lowrance,3B,Christ Church Episcopal (SC),,False,18,L,R,
2026,22,Sawyer Strosnider,OF,Texas Christian,IPEDS:228875,True,21,L,L,
2026,23,Brody Bumila,LHP,Bishop Feehan (MA),,False,18,L,L,
2026,24,Carson Bolemon,LHP,Southside Christian (SC),,False,19,R,L,
2026,25,Tegan Kuhns,RHP,Tennessee,IPEDS:221759,True,21,S,R,
2026,26,Cole Carlon,LHP,Arizona State,IPEDS:104151,True,21,L,L,
2026,27,Cole Prosek,3B/C,Magnolia Heights (MS),,False,19,L,R,ROK
2026,28,Daniel Jackson,C,Georgia,IPEDS:139959,True,21,R,R,
2026,29,Aiden Robbins,OF,Texas,IPEDS:228778,True,21,R,R,
2026,30,Zion Rose,OF,Louisville,IPEDS:157289,True,21,R,R,
2026,31,Logan Reddemann,RHP,UCLA,IPEDS:110662,True,21,S,R,
2026,32,Aiden Ruiz,SS,The Stony Brook (NY),,False,19,S,S,
2026,33,Caden Sorrell,OF,Texas A&M,IPEDS:228723,True,21,L,L,
2026,34,Landon Thome,2B/3B,Nazareth Academy (IL),,False,18,L,R,ROK
2026,35,Cade Townsend,RHP,Mississippi,IPEDS:176017,True,21,R,R,
2026,36,Mason Edwards,LHP,Southern California,IPEDS:123961,True,21,L,L,
2026,37,Taj Marchand,SS,James Island (SC),,False,17,R,R,
2026,38,Gavin Grahovac,1B,Texas A&M,IPEDS:228723,True,21,R,R,
2026,39,James Clark,SS,St. John Bosco (CA),,False,18,L,R,
2026,40,Taylor Rabe,RHP,Mississippi,IPEDS:176017,True,21,R,R,
2026,41,Eric Becker,SS,Virginia,IPEDS:234076,True,21,L,R,
2026,42,Logan Hughes,OF,Texas Tech,IPEDS:229115,True,21,L,L,
2026,43,Coleman Borthwick,RHP,South Walton (FL),,False,18,R,R,
2026,44,Jack Radel,RHP,Notre Dame,IPEDS:152080,True,21,R,R,
2026,45,Logan Schmidt,LHP,Ganesha (CA),,False,17,L,L,
2026,46,Will Brick,C,Christian Brothers (TN),,False,18,R,R,
2026,47,Chris Rembert,2B,Auburn,IPEDS:100858,True,21,R,R,
2026,48,Jarren Advincula,2B,Georgia Tech,IPEDS:139755,True,21,L,R,
2026,49,Rocco Maniscalco,SS,Oxford (AL),,False,17,S,R,
2026,50,Chase Brunson,OF,Texas Christian,IPEDS:228875,True,21,R,R,
2026,51,Wes Mendes,LHP,Florida State,IPEDS:134097,True,21,R,L,
2026,52,Andrew Williamson,OF,Central Florida,IPEDS:132903,True,21,L,L,
2026,53,Tyler Spangler,SS,De La Salle (CA),,False,18,L,R,
2026,54,Archer Horn,SS,St. Ignatius (CA),,False,18,L,R,
2026,55,Connor Comeau,SS/3B,Anderson (TX),,False,17,L,R,
2026,56,Jensen Hirschkorn,RHP,Kingsburg (CA),,False,18,L,R,ROK
2026,57,Kaden Waechter,RHP,Jesuit (FL),,False,18,R,R,
2026,58,Ben Blair,RHP,Liberty,IPEDS:232557,True,21,R,R,
2026,59,Jake Brown,OF,Louisiana State,IPEDS:159391,True,21,L,L,
2026,60,Ty Head,OF,North Carolina State,IPEDS:199193,True,21,L,L,
2026,61,Kaiden McCarthy,RHP,Vermont Academy (VT),,False,17,R,R,ROK
2026,62,Mulivai Levu,1B,UCLA,IPEDS:110662,True,21,L,R,
2026,63,Blake Bowen,OF,JSerra (CA),,False,18,R,R,
2026,64,Joseph Contreras,RHP,Blessed Trinity (GA),,False,18,R,R,
2026,65,Blake Bryant,RHP,Citizens Christian (GA),,False,18,R,R,
2026,66,Sean Duncan,LHP,Terry Fox (BC),,False,18,R,L,
2026,67,Owen Hull,OF,North Carolina,IPEDS:199120,True,21,L,R,
2026,68,Joey Volchko,RHP,Georgia,IPEDS:139959,True,21,R,R,ROK
2026,69,Ethan Kleinschmit,LHP,Oregon State,IPEDS:209542,True,21,L,L,
2026,70,Carson Bailey,LHP,McLennan CC,,False,20,R,L,
2026,71,Ethan Bass,SS,Glenbrook North (IL),,False,18,R,R,
2026,72,Will Gasparino,OF,UCLA,IPEDS:110662,True,21,R,R,
2026,73,Carson Tinney,C,Texas,IPEDS:228778,True,21,R,R,
2026,74,Jack Natili,C,Cincinnati,IPEDS:201885,True,21,R,R,
2026,75,Jake Schaffner,SS,North Carolina,IPEDS:199120,True,21,L,R,
2026,76,Cooper Harris,RHP,Flower Mound (TX),,False,18,R,R,
2026,77,Landon Brown,RHP,Iowa Colony (TX),,False,18,R,R,
2026,78,Jacob Dudan,RHP,North Carolina State,IPEDS:199193,True,21,L,R,
2026,79,Dee Kennedy,SS,Kansas State,IPEDS:155399,True,21,R,R,
2026,80,Denton Lord,RHP,South Walton (FL),,False,18,R,R,
2026,81,Peyton Bonds,OF,Rutgers,IPEDS:186380,True,20,R,R,
2026,82,Bo Holloway,LHP,Christ Presbyterian (TN),,False,18,L,L,
2026,83,Myles Bailey,1B,Florida State,IPEDS:134097,True,21,L,R,
2026,84,Kollin Ritchie,OF,Oklahoma State,IPEDS:207388,True,21,L,R,
2026,85,Savion Sims,RHP,Prestonwood Christian (TX),,False,19,R,R,
2026,86,Ryan Peterson,RHP,Sam Houston,IPEDS:227881,True,22,R,R,
2026,87,Ethan Wachsmann,RHP,Grandview (CO),,False,18,R,R,
2026,88,Carson Wiggins,RHP,Arkansas,IPEDS:106397,True,21,R,R,ROK
2026,89,Jack Slightom,RHP,Lyons Township (IL),,False,18,R,R,
