year,rank,name,position,school,team_id,is_college,age,bats,throws,current_level
2022,75,Hunter Barco,LHP,Florida,IPEDS:134130,True,25,L,L,AAA
2022,76,Sam Horn,RHP,Missouri,IPEDS:178396,True,22,R,R,ROK
2022,77,Bradley Loftin,LHP,Alabama-Birmingham,IPEDS:100663,True,22,L,L,
2022,78,Jacob Misiorowski,RHP,Crowder JC,,False,24,R,R,MLB
2022,79,Jaden Noot,RHP,Louisiana State,IPEDS:159391,True,22,R,R,
2022,80,Reggie Crawford,LHP,Connecticut,IPEDS:129020,True,25,L,L,AAA
2022,81,Henry Williams,RHP,Duke,IPEDS:198419,True,24,R,R,AAA
2022,82,Jalin Flores,SS,Texas,IPEDS:228778,True,22,R,R,A+
2022,83,Jordan Taylor,OF,Coastal Carolina,IPEDS:218724,True,23,R,R,
2022,84,Cam Smith,3B,Florida State,IPEDS:134097,True,23,R,R,MLB
2022,85,Ryan Cermak,OF,Illinois State,IPEDS:145813,True,24,R,R,A+
2022,86,Carson Palmquist,LHP,Miami,IPEDS:135726,True,25,L,L,AAA
2022,87,Luke Gold,3B/2B,Boston College,IPEDS:164924,True,25,R,R,A+
2022,88,Connor Staine,RHP,Central Florida,IPEDS:132903,True,25,R,R,AA
2022,89,Michael Kennedy,LHP,Troy (NY),,False,21,L,L,A+
2022,90,Karson Milbrandt,RHP,Liberty (MO),,False,22,R,R,AA
2022,91,Nick Morabito,OF,Gonzaga (DC),,False,23,R,R,AAA
2022,92,Ryan Clifford,1B/OF,Pro5 Academy (NC),,False,22,L,L,AAA
2022,93,Jake Madden,RHP,Northwest Florida State JC,,False,24,R,R,A+
2022,94,Nazier Mulé,RHP,Passaic Tech (NJ),,False,21,R,R,A+
2022,95,Colby Thomas,OF,Mercer,IPEDS:140447,True,25,R,R,MLB
2022,96,Tanner Schobel,2B/3B,Virginia Tech,IPEDS:233921,True,24,R,R,AAA
2022,97,Dom Keegan,C,Vanderbilt,IPEDS:221999,True,25,R,R,AAA
2022,98,Tyler Locklear,1B,Virginia Commonwealth,IPEDS:234030,True,25,R,R,AAA
2022,99,Ivan Melendez,3B/1B,Texas,IPEDS:228778,True,26,R,R,
2022,100,Gavin Kilen,SS/2B,Tennessee,IPEDS:221759,True,22,L,R,A+
2022,101,Brandon Birdsell,RHP,Texas Tech,IPEDS:229115,True,26,R,R,AAA
2022,102,Mason Neville,OF,Oregon,IPEDS:209551,True,22,L,L,A
2022,103,Jacob Reimer,3B/1B,Yucaipa (CA),,False,22,R,R,AA
2022,104,Paxton Kling,OF,Penn State,IPEDS:214777,True,22,R,R,A+
2022,105,Cutter Coffey,3B/2B,Liberty (CA),,False,21,R,R,AA
2022,106,Joe Lampe,OF,Arizona State,IPEDS:104151,True,25,L,R,AA
2022,107,Gavin Turley,OF,Oregon State,IPEDS:209542,True,22,R,R,A
2022,108,Robert Moore,2B/SS,Arkansas,IPEDS:106397,True,24,S,R,AAA
