year,rank,name,position,school,team_id,is_college,age,bats,throws,current_level
2021,1,Marcelo Mayer,INF,Eastlake (CA),,False,23,L,R,MLB
2021,2,Jack Leiter,RHP,Vanderbilt,IPEDS:221999,True,26,R,R,MLB
2021,3,Jordan Lawlar,INF,Jesuit Prep (TX),,False,23,R,R,MLB
2021,4,Kahlil Watson,OF,Wake Forest (NC),,False,23,L,R,AAA
2021,5,Henry Davis,C,Louisville,IPEDS:157289,True,26,R,R,MLB
2021,6,Kumar Rocker,RHP,Vanderbilt,IPEDS:221999,True,26,R,R,MLB
2021,7,Jackson Jobe,RHP,Heritage Hall (OK),,False,23,R,R,MLB
2021,8,Brady House,3B,Winder-Barrow (GA),,False,22,R,R,MLB
2021,9,Ty Madden,RHP,Texas,IPEDS:228778,True,26,R,R,MLB
2021,10,Colton Cowser,OF,Sam Houston,IPEDS:227881,True,26,L,R,MLB
2021,11,Sal Frelick,OF,Boston College,IPEDS:164924,True,26,L,R,MLB
2021,12,Matt McLain,SS/2B,UCLA,IPEDS:110662,True,26,R,R,MLB
2021,13,Harry Ford,C,North Cobb (GA),,False,23,R,R,AAA
2021,14,Sam Bachman,RHP,Miami (OH),IPEDS:204024,False,26,R,R,MLB
2021,15,Benny Montgomery,OF,Red Land (PA),,False,23,R,R,AA
2021,16,Jordan Wicks,LHP,Kansas State,IPEDS:155399,True,26,L,L,AAA
2021,17,Anthony Solometo,LHP,Bishop Eustace (NJ),,False,23,L,L,AA
2021,18,Andrew Painter,RHP,Calvary Christian (FL),,False,23,R,R,MLB
2021,19,Joe Mack,C,Williamsville East (NY),,False,23,L,R,MLB
2021,20,Will Taylor,OF,Clemson,IPEDS:217882,True,23,R,R,AA
2021,21,Bubba Chandler,RHP,North Oconee (GA),,False,23,S,R,MLB
2021,22,Gunnar Hoglund,RHP,Mississippi,IPEDS:176017,True,26,L,R,MLB
2021,23,Jud Fabian,OF,Florida,IPEDS:134130,True,25,R,L,AAA
2021,24,Joshua Báez,OF,Dexter Southfield (MA),,False,22,R,R,AAA
2021,25,Colson Montgomery,SS/3B,Southridge (IN),,False,24,L,R,MLB
2021,26,Ryan Cusick,RHP,Wake Forest,IPEDS:199847,True,26,R,R,AAA
2021,27,Chase Petty,RHP,Mainland Regional (NJ),,False,23,R,R,AAA
2021,28,Michael McGreevy,RHP,UC Santa Barbara,IPEDS:110705,True,25,L,R,MLB
2021,29,Peyton Stovall,2B,Arkansas,IPEDS:106397,True,23,L,R,A+
2021,30,Izaac Pacheco,3B/1B,Friendswood (TX),,False,23,L,R,AA
2021,31,Gavin Williams,RHP,East Carolina,IPEDS:198464,True,26,L,R,MLB
2021,32,Will Bednar,RHP,Mississippi State,IPEDS:176080,True,25,R,R,AA
2021,33,Jay Allen II,OF,John Carroll Catholic (FL),,False,23,R,R,AA
2021,34,Wes Kath,3B,Desert Mountain (AZ),,False,23,L,R,A+
2021,35,Ethan Wilson,OF,South Alabama,IPEDS:102094,True,26,L,L,AAA
2021,36,Jaden Hill,RHP,Louisiana State,IPEDS:159391,True,26,R,R,MLB
2021,37,Tyler Whitaker,OF/SS/3B,Bishop Gorman (NV),,False,23,R,R,AA
2021,38,Max Muncy,SS,Thousand Oaks (CA),,False,23,R,R,MLB
2021,39,Frank Mozzicato,LHP,East Catholic (CT),,False,22,L,L,AA
2021,40,Mat Nelson,C,Florida State,IPEDS:134097,True,27,R,R,AA
2021,41,Carson Williams,SS,Torrey Pines (CA),,False,22,R,R,AAA
2021,42,Adrian Del Castillo,C,Miami,IPEDS:135726,True,26,L,R,MLB
2021,43,Gage Jump,LHP,Louisiana State,IPEDS:159391,True,23,L,L,AAA
2021,44,James Wood,OF,IMG Academy (FL),,False,23,L,R,MLB
2021,45,Tommy Mace,RHP,Florida,IPEDS:134130,True,27,R,R,AAA
2021,46,Ben Kudrna,RHP,Blue Valley Southwest (KS),,False,23,R,R,AAA
2021,47,Chase Burns,RHP,Wake Forest,IPEDS:199847,True,23,R,R,MLB
2021,48,Josh Hartle,LHP,Wake Forest,IPEDS:199847,True,23,L,L,AA
2021,49,Maddux Bruns,LHP,UMS-Wright (AL),,False,23,L,L,AA
2021,50,Matt Mikulski,LHP,Fordham,IPEDS:191241,True,27,L,L,A+
2021,51,Andrew Abbott,LHP,Virginia,IPEDS:234076,True,26,L,L,MLB
2021,52,Christian Franklin,OF,Arkansas,IPEDS:106397,True,26,R,R,AAA
2021,53,Jackson Baumeister,RHP,Florida State,IPEDS:134097,True,23,R,R,AA
2021,54,Spencer Schwellenbach,RHP,Nebraska,IPEDS:181464,True,25,R,R,MLB
2021,55,Trey Sweeney,SS,Eastern Illinois,IPEDS:144892,True,26,L,R,MLB
2021,56,Doug Nikhazy,LHP,Mississippi,IPEDS:176017,True,26,L,L,AAA
2021,57,Tyler Black,1B,Wright State,IPEDS:206604,True,25,L,R,MLB
2021,58,Connor Norby,2B/OF,East Carolina,IPEDS:198464,True,25,R,R,MLB
2021,59,Cody Morissette,2B,Boston College,IPEDS:164924,True,26,L,R,AAA
2021,60,Thatcher Hurd,RHP,Louisiana State,IPEDS:159391,True,23,R,R,ROK
2021,61,Tommy Di Landri,OF,Southern California,IPEDS:123961,True,23,R,R,
2021,62,Noah Miller,SS,Ozaukee (WI),,False,23,S,R,AAA
2021,63,Cody Schrier,SS,UCLA,IPEDS:110662,True,23,R,R,A+
2021,64,Alex Mooney,INF,Duke,IPEDS:198419,True,23,R,R,AA
2021,65,Alex Binelas,3B/1B,Louisville,IPEDS:157289,True,25,L,R,AA
2021,66,Braden Montgomery,OF,Texas A&M,IPEDS:228723,True,23,S,R,AAA
2021,67,Ky Bush,LHP,Saint Mary's,IPEDS:123554,True,26,L,L,MLB
2021,68,Peyton Wilson,2B,Alabama,IPEDS:100751,True,26,S,R,AAA
2021,69,Jose Torres,SS/2B,North Carolina State,IPEDS:199193,True,26,R,R,AA
2021,70,Ryan Bliss,2B/SS,Auburn,IPEDS:100858,True,26,R,R,AAA
2021,71,Davis Diaz,SS/C,Vanderbilt,IPEDS:221999,True,23,R,R,AA
2021,72,Lonnie White Jr.,OF,Malvern Prep (PA),,False,23,R,R,AA
2021,73,Eric Hammond,RHP,Georgia,IPEDS:139959,True,23,R,R,A
2021,74,Dylan Smith,RHP,Alabama,IPEDS:100751,True,25,R,R,AAA
2021,75,Sean Burke,RHP,Maryland,IPEDS:163286,True,26,R,R,MLB
2021,76,Aaron Zavala,OF,Oregon,IPEDS:209551,True,25,L,R,AAA
2021,77,Brody Brecht,RHP,Iowa,IPEDS:153658,True,23,R,R,A+
2021,78,James Triantos,2B/OF,Madison (VA),,False,23,R,R,AAA
2021,79,Jackson Merrill,SS/OF,Severna Park (MD),,False,23,L,R,MLB
2021,80,Daylen Lile,OF,Trinity (KY),,False,23,L,R,MLB
2021,81,Kyle Manzardo,1B,Washington State,IPEDS:236939,True,25,L,R,MLB
2021,82,Carter Jensen,C,Park Hill (MO),,False,22,L,R,MLB
2021,83,Edwin Arroyo,SS,Arecibo Baseball Academy (PR),,False,22,S,R,AAA
2021,84,Cooper Kinney,2B/3B,Baylor (TN),,False,23,L,R,AAA
2021,85,Joe Rock,LHP,Ohio,IPEDS:204857,True,25,L,L,AAA
2021,86,Zack Gelof,2B,Virginia,IPEDS:234076,True,26,R,R,MLB
2021,87,Hunter Goodman,1B/OF/C,Memphis,IPEDS:220862,True,26,R,R,MLB
2021,88,Robert Gasser,LHP,Houston,IPEDS:225511,True,26,L,L,AAA
2021,89,Jonathan Cannon,RHP,Georgia,IPEDS:139959,True,25,R,R,AAA
2021,90,Landon Marceaux,RHP,Louisiana State,IPEDS:159391,True,26,R,R,A
2021,91,Bryce Miller,RHP,Texas A&M,IPEDS:228723,True,27,R,R,MLB
2021,92,Cameron Cauley,SS/OF/2B,Barbers Hill (TX),,False,23,R,R,AAA
2021,93,Michael Robertson,OF,Liberty,IPEDS:232557,True,23,L,R,
2021,94,Braylon Bishop,OF,Arkansas (AR),,False,23,L,L,A
2021,95,Malakhi Knight,OF,Washington,IPEDS:236948,True,23,R,R,
2021,96,Dom Hamel,RHP,Dallas Baptist,IPEDS:224226,True,27,R,R,AAA
2021,97,Isaiah Thomas,OF,Lewis-Clark State,,False,26,R,R,
2021,98,Denzel Clarke,OF,Cal State Northridge,IPEDS:110608,True,26,R,R,MLB
2021,99,Brendan Beck,RHP,Stanford,IPEDS:243744,True,27,R,R,AAA
2021,100,Steve Hajjar,LHP,Michigan,IPEDS:170976,True,25,R,L,AAA
2021,101,Luca Tresh,C,North Carolina State,IPEDS:199193,True,26,R,R,AAA
2021,102,Russell Smith,LHP,Texas Christian,IPEDS:228875,True,27,L,L,ROK
2021,103,McCade Brown,RHP,Indiana,IPEDS:151351,True,25,R,R,MLB
2021,104,Robby Martin Jr.,OF,Florida State,IPEDS:134097,True,26,L,R,A+
2021,105,Ryan Holgate,OF,Arizona,IPEDS:104179,True,25,L,L,ROK
2021,106,Roc Riggio,2B,Oklahoma State,IPEDS:207388,True,23,L,R,AA
2021,107,Tommy White,3B/1B,Louisiana State,IPEDS:159391,True,23,R,R,AAA
2021,108,Peter Heubeck,RHP,Gilman (MD),,False,23,R,R,ROK
2021,109,Michael Morales,RHP,East Pennsboro (PA),,False,23,R,R,AA
2021,110,Caedmon Parker,RHP,Texas Christian,IPEDS:228875,True,22,R,R,A
2021,111,Mike Vasil,RHP,Virginia,IPEDS:234076,True,26,L,R,MLB
2021,112,Tyler McDonough,OF/2B,North Carolina State,IPEDS:199193,True,27,S,R,AA
2021,113,Christian MacLeod,LHP,Mississippi State,IPEDS:176080,True,26,L,L,AAA
2021,114,Will Koger,RHP,Arizona State,IPEDS:104151,True,23,L,R,A
2021,115,Coleman Willis,RHP,Georgia Gwinnett,,False,23,L,R,
