conference,exponent,n_team_seasons,r2_fitted,r2_default,rmse_fitted,rmse_default,p_value,significant
ACC,1.6779,72,0.8369,0.8258,0.0405,0.04185,0.2642,no
ASUN,1.8642,49,0.9152,0.915,0.03403,0.03408,0.8267,no
America East,1.807,37,0.8049,0.8048,0.0453,0.04532,0.934,no
Atlantic 10,1.8491,61,0.9284,0.9284,0.03469,0.03471,0.8974,no
Big 12,1.5729,54,0.7866,0.7544,0.04427,0.04749,0.1759,no
Big East,1.8174,40,0.9039,0.9039,0.04422,0.04423,0.9448,no
Big South,1.7703,49,0.8932,0.8922,0.04167,0.04186,0.7228,no
Big Ten,1.6303,69,0.8585,0.8477,0.04475,0.04642,0.316,no
Big West,1.9241,51,0.9436,0.9419,0.0398,0.0404,0.5272,no
CAA,1.6923,53,0.9124,0.9076,0.03754,0.03856,0.3366,no
CUSA,1.8483,53,0.8946,0.8945,0.04674,0.04676,0.9144,no
Horizon,1.8372,32,0.9052,0.9052,0.04171,0.04171,0.9762,no
Ivy League,1.819,33,0.8622,0.8622,0.05491,0.05492,0.9681,no
MAAC,1.8356,57,0.8925,0.8925,0.05313,0.05313,0.977,no
MAC,1.9096,55,0.8556,0.8543,0.05077,0.051,0.7039,no
MEAC,1.8111,10,0.683,0.6828,0.05312,0.05313,0.9755,no
MVC,2.0755,46,0.9043,0.8937,0.04187,0.04413,0.1809,no
Mountain West,1.722,36,0.7455,0.7428,0.0506,0.05087,0.7931,no
NEC,1.9783,41,0.8945,0.8904,0.05788,0.05899,0.5705,no
OVC,1.9786,43,0.8232,0.8192,0.04596,0.04649,0.6282,no
Pac-12,1.7816,44,0.8535,0.8527,0.04097,0.04108,0.793,no
Patriot,1.4525,30,0.7959,0.7429,0.04584,0.05145,0.1675,no
SEC,1.7044,72,0.8374,0.8291,0.04476,0.04588,0.3527,no
SWAC,1.7442,58,0.8937,0.8921,0.05245,0.05285,0.6436,no
SoCon,1.657,40,0.823,0.8148,0.04562,0.04666,0.4713,no
Southland,1.5939,50,0.856,0.8402,0.04257,0.04484,0.216,no
Summit League,1.9714,27,0.8677,0.8635,0.0553,0.05616,0.5818,no
Sun Belt,1.8438,66,0.8813,0.8813,0.04334,0.04335,0.9382,no
The American,1.9037,44,0.8817,0.8806,0.03985,0.04004,0.7332,no
WAC,1.8037,46,0.8401,0.8399,0.05037,0.0504,0.9021,no
WCC,1.7825,48,0.8758,0.8753,0.04383,0.04392,0.784,no
