school_id,school_name
95,"PJ Educational HS, Carolina, P.R."
96,"Palma HS, Salinas, Calif."
97,"Passaic County Technical Institute, Wayne, N.J."
98,"Paul VI HS, Haddonfield, N.J."
99,"Penn Cambria HS, Cresson, Pa."
100,"Perry Central HS, Hazard, Ky."
101,"Pinecrest Academy, Cumming, Ga."
102,"Pinole Valley HS, Pinole, Calif."
103,"Plant HS, Tampa"
104,"Pro Baseball HS Academy, Cayey, P.R."
105,"Puerto Rico Baseball Academy, Gurabo, P.R."
106,"Quartz Hill HS, Lancaster, Calif."
107,"Quiles Claudio HS, Guanica, P.R."
108,"Redan HS, Stone Mountain, Ga."
109,"Ridge HS, Basking Ridge, N.J."
110,"Riggs HS, Pierre, S.D."
111,"River Ridge HS, Woodstock, Ga."
112,"Rock Canyon HS, Lone Tree, Colo."
113,"Rockwall-Heath HS, Rockwall, Texas"
114,"Rodriguez HS, Lajas, P.R."
115,"Roncalli HS, Indianapolis"
116,"Rossview HS, Clarksville, Tenn."
117,"Russell County HS, Seale, Ala."
118,"Sanford HS, Fayetteville, N.C."
119,"Santa Margarita HS, Rancho Santa Margarita, Calif."
120,"Scotlandville Magnet HS, Baton Rouge"
121,"Segerstrom HS, Santa Ana, Calif."
122,"Seneca HS, Tabernacle, N.J."
123,"Serra HS, San Mateo, Calif."
124,Seton Catholic High School
125,"South Granville HS, Creedmoor, N.C."
126,"Spruce Creek HS, Port Orange, Fla."
127,"St. John Bosco HS, Bellflower, Calif."
128,"St. Pius X HS, Houston"
129,"Standley Lake HS, Westminster, Colo."
130,"Stevens Institute of Technology, Hoboken, N.J."
131,"Stockdale HS, Bakersfield, Calif."
132,"Stoneman Douglas HS, Parkland, Fla."
133,"Such HS, San Juan, P.R."
134,"Superior Urbana HS, Salinas, P.R."
135,"Suwannee HS, Live Oak, Fla."
136,"TNXL Academy, Altamonte Springs, Fla."
137,"Tattnall Square Academy, Macon, Ga."
138,"The Benjamin School, North Palm Beach, Fla."
139,"The First Academy, Orlando"
140,"The Miller School, Charlottesville, Va."
141,"Thurmond HS, Johnston, S.C."
142,"Timber Creek HS, Fort Worth"
143,"Tivy HS, Kerrville, Texas"
144,"Vintage HS, Napa, Calif."
145,"Vista Murrieta HS, Murrieta, Calif."
146,"Walton HS, Bronx, N.Y."
147,"Walton HS, Marietta, Ga."
148,"Watson Chapel HS, Pine Bluff, Ark."
149,"West Clermont HS, Batavia, Ohio"
150,"Western International HS, Detroit"
151,"Westminster Christian School, Palmetto Bay, Fla."
152,"Williamsville East HS, East Amherst, N.Y."
153,??
154,A&M Consolidated
155,A. Crawford Mosley High School
156,A.B. Lucas
157,A.B. Lucas Secondary School
158,A.C. Davis
159,A.C. Flora High School
160,A.C. Reynolds
161,A.H. Parker High School
162,A.L. Brown
163,A.L. Brown High School
164,A3 Academy
165,ASA College
166,Abbeville
167,Abbey Park High School
168,Abbotsford
169,Aberdeen High School
170,Abilene
171,Abilene Christian
172,Abilene Christian University
173,Abingdon High School
174,Abraham Baldwin Agricultural College
175,Abraham Lincoln
176,Academia Deportiva Albergue
177,Academia Discipulos de Cristo
178,Academia Presbiteriana
179,Academia Presbiteriana High School
180,Academy of Art
181,Acadiana High School
182,Acalanes
183,Acalanes High School
184,Acton-Boxboro Regional
185,Ada High School
186,Adair
187,Adairsville
188,Adams State College
189,Adams-Friendship
190,Adamsville
191,Adel DeSoto Minburn
192,Adela Rolon Fuentes
193,Adelphi
194,Adelphi University
195,Adena
196,Adirondack Central
197,Adlai E. Stevenson
198,Adolfo Camarillo High School
199,Adrian
200,Adrian College
201,Advanced Central College
202,Advanced Software Analysis
203,Advanced Software Analysis-Miami
204,Affton High School
205,Agawam High School
206,Agoura High School
207,Agua Fria High School
208,Aiea High School
209,Aiken High School
210,Air Academy
211,Air Force
212,Air Force Academy
213,Airline High School
214,Airport
215,Airport Community College
216,Ajo
217,Akron East
218,Alabama
219,Alabama A&M University
220,Alabama Birmingham
221,Alabama Christian Academy
222,Alabama Southern Community College
223,Alabama State
224,Alabama State University
225,Alabama-Birmingham
226,Alameda High School
227,Alamo Heights High School
228,Alamogordo
229,Alba
230,Albany High School
231,Albany State University
232,Albemarle
233,Albert Einstein
234,Alberto Melendez Torres School
235,Albertus Magnus High School
236,Albion Central High School
237,Albion College
238,Albright College
239,Albuquerque Academy
240,Albuquerque High School
241,Albuquerque University
242,Alcoa
243,Alcorn Central
244,Alcorn State University
245,Aldergrove
246,Aldershot
247,Alderson-Broaddus College
248,Aldine
249,Aledo High School
250,Alexander
251,Alexander Hamilton
252,Alexandria High School
253,Alexandria-Monroe
254,Alexis I. duPont
255,Alfonso Casta Martinez
256,Alfred G. Berner
257,Alfred M. Barbe High School
258,Alfred University
259,Alfred Wettermark High School
260,Alfred-Almond
261,Algonac
262,Alhambra High School
263,Aliceville High School
264,Alief Elsik
265,Alief Hastings
266,Alisal
267,Aliso Niguel
268,Aliso Niguel High School
269,All Saints Academy
270,All Saints Central
271,Allan Hancock College
272,Allatoona
273,"Allatoona HS, Acworth, Ga."
274,Allatoona High School
275,Allegany College of Maryland
276,Alleghany
277,Alleghany County
278,Allegheny College
279,Allegheny High School
280,Alleman
281,Allen
282,Allen Academy
283,Allen Carver
284,"Allen Central HS, Eastern, Ky."
285,Allen County Community College
286,Allen Park
287,Allentown
288,Allentown Central Catholic
289,Allentown High School
290,Alliant International University
291,Alma
292,Alma College
293,Aloha
294,"Alonso HS, Tampa"
295,Alonso High School
296,Alpaugh
297,Alpena
298,Alpena Community College
299,Alpharetta
300,Alpine
301,Alta
302,Alta Loma
303,Altamont
304,Altavista Combined School
305,Althoff Catholic
306,Alto
307,Alton
308,Alton High School
309,Altoona
310,Altus
311,Alvarado
312,Alvarado HS
313,Alvernia University
314,Alvin Community College
315,Alvin HS
316,Alvin High School
317,Alvin JC
318,Amador Valley
319,Amalie High School
320,Amarillo
321,Ambridge Area High School
322,Amelia
323,American Christian
324,American Christian Academy
325,American Christian College
326,American Fork
327,"American Heritage HS, Delray Beach, Fla."
328,American Heritage High School
329,American Heritage School
330,American High School
331,American International College
332,American Military Academy
333,American River College
334,American Senior High School
335,American University
336,Americas
337,Americas High School
338,Americus-Sumter
339,Amesbury
340,Amherst
341,Amherst Central High School
342,Amherst College
343,Amherst County
344,Amherst County High School
345,Amherst High School
346,Amherst Regional
347,Amity Regional
348,Amityville Memorial
349,Amory High School
350,Amos Alonzo Stagg
351,Amphitheater
352,Amsterdam
353,Anacortes
354,Anadarko High School
355,Ancaster
356,Anchor Bay
357,Andale High School
358,Andalusia High School
359,Anderson
360,Anderson County
361,Anderson County High School
362,Anderson Union
363,Anderson University
364,Anderson-Shiro High School
365,Andover High School
366,Andrean
367,Andress
368,Andrew College
369,Andrew High School
370,Andrew Hill
371,Andrew Jackson
372,Andrews
373,Angelina College
374,Angelo State
375,Angelo State University
376,Angleton
377,Angola
378,Anita Otero Hernandez
379,Ankeny Centennial High School
380,Ankeny High School
381,Anna-Jonesboro
382,Annandale
383,Annapolis High School
384,Anne Arundel Community College
385,Anniston
386,Annville-Cleona
387,Anoka High School
388,Anson County
389,Ansonia
390,Antelope Valley College
391,Antelope Valley High School
392,Antelope Valley JC
393,Antigo
394,Antilles High School
395,Antioch
396,Antonian Prep
397,Antonio Lucchetti High School
398,Apache
399,Apache Junction
400,Apex
401,Apollo High School
402,Apopka High School
403,Appalachian State
404,Appalachian State University
405,Apple Valley
406,Appleton
407,Appleton East
408,Appleton West
409,Appleton West High School
410,Appling
411,Appling County High School
412,Appomattox County
413,Aptos
414,Aptos High School
415,Aquinas
416,Aquinas College
417,Aquinas High School
418,Aquinas Institute
419,Aquinas-Mercy
420,Arab
421,Aragon High School
422,Aransas Pass
423,Arapahoe
424,Arbor View
425,Arbor View High School
426,Arcadia High School
427,Arcadia Valley
428,Archbishop Alter
429,Archbishop Carroll
430,Archbishop Curley High School
431,Archbishop Hannan
432,Archbishop Hoban
433,Archbishop Kennedy
434,Archbishop McCarthy
435,Archbishop McCarthy High School
436,"Archbishop Mitty HS, San Jose"
437,Archbishop Mitty High School
438,Archbishop Moeller High School
439,Archbishop Molloy
440,Archbishop Murphy High School
441,Archbishop O'Hara
442,Archbishop Rummel
443,Archbishop Ryan
444,Archbishop Ryan Memorial
445,Archbishop Shaw
446,Archbishop Spalding High School
447,Archbold
448,Archer High School
449,Ardmore High School
450,Ardrey Kell High School
451,Argenta-Oreana
452,Argonaut High School
453,Argyle
454,Arizona Christian
455,Arizona State University
456,Arizona Western College
457,Arizona Western JC
458,Arkadelphia
459,Arkansas
460,Arkansas City
461,Arkansas High School
462,Arkansas State
463,Arkansas State University
464,Arkansas Tech University
465,Arkansas-Fort Smith
466,Arkansas-Little Rock
467,Arkport Central
468,Arlington Country Day School
469,Arlington Heights High School
470,Arlington High School
471,Armijo
472,Armstrong
473,Armstrong Atlantic State University
474,Armuchee
475,Armwood
476,Army
477,Army West Point
478,Arnett
479,Arnold
480,Arnprior District
481,Arrowhead Union
482,Arrowhead Union High School
483,Arroyo
484,Arroyo Grande High School
485,Artesia High School
486,Arthur Hill
487,Arundel
488,Arvada
489,Arvada West
490,Arvin
491,Asbury College
492,Ascension College
493,Ashbrook
494,Ashby High School
495,Ashdown
496,Ashdown High School
497,Ashe County
498,Asheboro
499,Asher
500,Asheville
501,Ashford
502,Ashland High School
503,Ashland University
504,Ashtabula
505,Ashwaubenon
506,Assiniboia Composite
507,Assumption College
508,Assumption High School
509,Astoria
510,Astronaut High School
511,Atascocita High School
512,Athens Area
513,Athens Drive High School
514,Athens High School
515,Athens State University
516,Atherton
517,Atholton
518,Atkinson County
519,Atlanta
520,Atlantic Cape Community College
521,Atlantic City
522,Atlantic Coast High School
523,Atlee High School
524,Atoka
525,Atoka High School
526,Attleboro
527,Atwater High School
528,Auburn
529,Auburn Drive
530,Auburn High School
531,Auburn Riverside
532,Auburn University
533,Auburn University-Montgomery
534,Auburndale
535,Audubon
536,Augsburg College
537,Augusta Christian
538,Augusta State University
539,Augustana
540,Augustana College
541,Augustana University
542,Augustinian Academy for Boys
543,Aulander
544,Aurora
545,Aurora Central Catholic
546,Aurora Central High School
547,Aurora HS
548,Aurora University
549,Austin Catholic Prep
550,Austin Community College
551,Austin High School
552,Austin Peay
553,Austin Peay State
554,Austin Peay State University
555,Austin-East
556,Austintown Fitch
557,Averett University
558,Aviation
559,Aviation Tech
560,Avila University
561,Avon High School
562,Avon Lake
563,Avon Old Farms Prep School
564,Avon Old Farms Prep School.
565,Avon Old Farms School
566,Avon Park
567,Avondale
568,Avonworth
569,Ayala
570,Ayala High School
571,Ayden-Grifton
572,Ayersville
573,Azle
574,Aztec High School
575,Azusa
576,Azusa Pacific
577,Azusa Pacific University
578,Azuza Pacific
579,B-You Academy
580,B-You Prospects Academy
581,B.M.C. Durfee
582,BYU
583,Babson College
584,Bacon Academy
585,Bacone College
586,Badger
587,Badin
588,Bagdad
589,Bainbridge
590,Bainbridge High School
591,Baker County
592,Baker High School
593,Baker University
594,Bakersfield College
595,Bakersfield High School
596,Bakersfield North
597,Balboa
598,Bald Eagle Area High School
599,Baldwin
600,Baldwin County
601,Baldwin High School
602,Baldwin Park High School
603,Baldwin-Wallace
604,Baldwin-Wallace College
605,Ball High School
606,Ball State
607,Ball State University
608,Ballard High School
609,Ballinger
610,Baltimore City Community College
611,Baltimore Polytechnic Institute
612,Bamberg-Ehrhardt High School
613,Bandys High School
614,Bangor
615,Banks
616,Banning High School
617,Baptist College of Florida
618,Barbe High School
619,Barbers Hill
620,"Barbers Hill HS, Mont Belvieu, Texas"
621,Barbers Hill High School
622,Barberton
623,Barboursville
624,Barlow
625,Barnegat
626,Barnegat High School
627,Barren County
628,Barringer
629,Barrington
630,Barrington HS
631,Barrington High School
632,Barron Collier High School
633,Barry
634,Barry University
635,Barstow
636,Barstow College
637,Barstow High School
638,Bartlesville
639,Bartlett
640,Bartlett Yancey
641,Barton
642,Barton College
643,Barton County Community College
644,Barton JC
645,Bartow
646,Bartow HS
647,Bartram Trail
648,Baruch College
649,Basha
650,Basha High School
651,Basic
652,Basic Academy of International Studies
653,Basic High School
654,Bassett High School
655,Bassfield
656,Bastrop
657,Batavia
658,Bates College
659,Batesburg-Leesville
660,Batesville
661,Batesville High School
662,Baton Rouge
663,Baton Rouge Community College
664,Battiest
665,Battle
666,Battle Creek
667,Battle Creek Central
668,Battle Ground Academy
669,Battle Ground HS
670,Battle Ground High School
671,Battlefield High School
672,Battleground
673,Baxter Springs
674,Bay City
675,Bay City Western High School
676,Bay High School
677,Bay city Central
678,Bayfield High School
679,Bayley-Ellard High School
680,Baylor
681,Baylor School
682,Baylor University
683,Bayonne
684,Bayside
685,Bayside HS
686,Beacon HS
687,Beaconsfield
688,Beall
689,Bear Creek
690,Bear River
691,Bearden High School
692,Beardstown
693,Beatrice
694,Beaufort High School
695,Beaumont
696,Beaver Area
697,Beaver Creak
698,Beaver Dam
699,Beaver Falls High School
700,Beaver Local
701,Beaverton HS
702,Beaverton High School
703,Beckley
704,Beckman High School
705,Bedford
706,Bedford HS
707,Bedford High School
708,Beech
709,"Beech HS, Hendersonville, Tenn."
710,Beech High School
711,Beechwood
712,Beekmantown
713,Bel Air
714,Belaire High School
715,Belen Jesuit
716,Belhaven College
717,Bell Gardens
718,Bell High School
719,Bella Vista
720,Bellaire High School
721,Bellarmine
722,Bellarmine Prep
723,Bellarmine University
724,Belle Chasse
725,Belle Vernon
726,Bellefontaine High School
727,Bellerose
728,Bellerose Composite High School
729,Belleville East
730,Belleville East High School
731,Belleville High School
732,Belleville West
733,Bellevue
734,Bellevue Christian
735,Bellevue College
736,Bellevue Community College
737,Bellevue East
738,Bellevue University
739,Bellevue West
740,Bellflower
741,Bellingham
742,Bellingham High School
743,Bellmont
744,Bellport High School
745,Bells
746,Bellville
747,Bellwood-Antis
748,Bellwood-Antis High School
749,Belmar
750,Belmont
751,Belmont Abbey
752,Belmont Abbey College
753,Belmont High School
754,Belmont University
755,Beloit Memorial
756,Belton High School
757,Belton-Honea Path
758,Beltran Baseball Academy
759,"Beltran Baseball Academy, Florida, P.R."
760,"Beltran Baseball Academy, P.R."
761,Belvidere
762,Bemidji High School
763,Ben C. Rain
764,Ben Eielson
765,Ben Franklin
766,Ben L. Smith
767,Ben Lomond
768,Bend High School
769,Benedict College
770,Benedictine
771,Benedictine College
772,Benedictine High School
773,Benedictine University
774,Benedictine University at Mesa
775,Benicia
776,Benicia High School
777,Benilde St. Margaret's
778,Benjamin E. Mays High School
779,Benjamin Franklin
780,Benjamin Harrison High School
781,Benjamin N. Cardozo High School
782,Benjamin Russell
783,Benjamin School
784,Bennett
785,Benson High School
786,Benson Tech
787,Benson Union
788,Bentley
789,Bentley College
790,Benton Central
791,Benton Harbor
792,Benton High School
793,Bentonville
794,Berea
795,Bergail
796,Bergenfield
797,Berkeley Carroll
798,Berkeley Heights
799,Berkeley High School
800,Berkeley Prep
801,Berkley
802,Berkmar High School
803,Berkshire Community College
804,Berlin High School
805,Bernards High School
806,Berrien County High School
807,Berrien Springs High School
808,Berry
809,Berry College
810,Berryhill High School
811,Bertie
812,Berwick
813,Berwick High School
814,Bessemer Academy
815,Bessemer City
816,Bethany
817,Bethany College
818,Bethany University
819,Bethel
820,Bethel College
821,Bethel Park
822,Bethel University
823,Bethlehem Catholic
824,Bethlehem Center
825,Bethlehem Central
826,Bethlehem Liberty
827,Bethune
828,Bethune-Cookman
829,Bethune-Cookman University
830,Beulah
831,Beverly Hills
832,Beverly Hills HS
833,Bevill State Community College-Fayette
834,Beyer High School
835,Bibb County
836,Big Bear
837,Big Bend Community College
838,Big Spring High School
839,Big Valley Christian High School
840,Bigfork
841,"Bill Crothers SS, Markham, Ont."
842,Bill Crothers Secondary School
843,Billerica Memorial
844,Billerica Memorial High School
845,Billings
846,Billings Central Catholic
847,Billings Central Catholic High School
848,Billings West High School
849,Biloxi
850,Biloxi High School
851,Binger-Oney
852,"Binger-Oney HS, Binger, Okla"
853,Bingham High School
854,Binghamton
855,Binghamton University
856,Biola
857,Biola University
858,Birch Hils Composite
859,Birchmount Park Collegiate
860,Birmingham High School
861,Birmingham-Southern
862,Birmingham-Southern College
863,Bishop
864,Bishop Ahr
865,"Bishop Alemany HS, Mission Hills, Calif."
866,Bishop Alemany High School
867,Bishop Allen Academy
868,Bishop Amat Memorial High School
869,Bishop Armstrong High School
870,Bishop Barry
871,Bishop Blanchet High School
872,Bishop Brossart High School
873,Bishop Byrne
874,Bishop Canevin Catholic
875,Bishop Carroll Catholic
876,Bishop Carroll Catholic  High School
877,Bishop Carroll Catholic High School
878,Bishop Carroll High School
879,Bishop Diego
880,Bishop Dubois High School
881,Bishop Dunne
882,Bishop Dwenger
883,Bishop England
884,Bishop Eustace Preparatory School
885,Bishop Fallon
886,Bishop Foley
887,Bishop Ford Central Catholic
888,Bishop Gallagher
889,Bishop Gibbons
890,Bishop Gorman High School
891,Bishop Guertin
892,Bishop Hartley
893,Bishop Heelan Catholic
894,Bishop Hendricken High School
895,Bishop Kelley High School
896,Bishop Kelly
897,Bishop Kenny High School
898,Bishop Ludden
899,Bishop Luers
900,Bishop Manogue
901,Bishop Manogue High School
902,Bishop McDevitt
903,Bishop McGuinness
904,"Bishop McLaughlin Catholic HS, Spring Hill, Fla."
905,Bishop McNamara
906,Bishop Montgomery High School
907,Bishop Moore
908,Bishop Noll High School
909,Bishop O'Dowd High School
910,Bishop ODowd High School
911,Bishop P.F. Reding Catholic
912,Bishop Rosecrans
913,Bishop Stang
914,Bishop State Community College
915,Bishop Timon: St. Jude
916,Bishop Turner
917,Bishop Verot High School
918,Bishop Walsh
919,Bishop Ward
920,Bishopville
921,Bixby HS
922,Bixby High School
923,Black Hawk College
924,Black Hawk JC
925,Black Hills
926,Blackford
927,Blackhawk High School
928,Blackman
929,Bladenboro
930,Bladensburg
931,Blaine
932,Blair
933,Blair Academy
934,Blairsville/Saltsburg
935,Blanchard HS
936,Blanchard High School
937,Blanche Ely
938,Blanchester
939,Blanco
940,Blanco HS
941,Blazer
942,Bleckley County
943,Blessed Trinity Catholic
944,Blessed Trinity Catholic High School
945,Blessed Trinity High School
946,Blinn College
947,Blinn JC
948,Bloom Township
949,Bloomfield
950,Bloomfield College
951,Bloomfield Vocational Tech
952,Bloomingdale High School
953,Bloomington
954,Bloomington North HS
955,Bloomington South
956,Bloomsburg
957,Bloomsburg Area
958,Bloomsburg University of Pennsylvania
959,Blount School
960,Blue Mountain
961,Blue Mountain Community College
962,Blue Ridge
963,Blue Springs
964,Blue Springs HS
965,Blue Springs South High School
966,Blue Valley High School
967,Blue Valley North
968,Blue Valley Northwest High School
969,Blue Valley Southwest High School
970,Blue Valley West High School
971,Bluefield
972,Bluefield College
973,Bluevale Collegiate Institute
974,Bluffton College
975,Blyth Academy
976,Boardman
977,Boaz
978,Bob Jones High School
979,Boca Ciega
980,Boca Raton Community High School
981,Boerne High School
982,Bogalusa
983,Bogota
984,Boise High School
985,Boise State University
986,Bolivar High School
987,Bolles School
988,Bolsa Grande
989,Bolton
990,Bonanza
991,Bonanza High School
992,Bonduel
993,Bonita High School
994,Bonita Vista
995,Bonita Vista High School
996,Bonnabel
997,Bonner Springs
998,Bonneville
999,Bonneville High School
1000,Bonney Lake High School
1001,Bonny Eagle
1002,Booker High School
1003,Booker T. Washington
1004,Boone Community College
1005,Boone County
1006,Boone High School
1007,Booneville
1008,Boonsboro
1009,Boonton
1010,Boonville
1011,Borah
1012,Bordentown Military Institute
1013,Bordentown Regional
1014,Boscobel
1015,Bosse
1016,Bossier
1017,Bossier Parish Community College
1018,Boston College
1019,Boston University
1020,Boswell
1021,Boswell High School
1022,Bothell
1023,Boulder
1024,Boulder City
1025,Boulder Creek
1026,Bound Brook
1027,Boundbrook
1028,Bountiful
1029,Bourbon County
1030,Bourgade Catholic
1031,Bourne
1032,Bowdoin College
1033,Bowdon
1034,Bowie High School
1035,Bowie State University
1036,Bowling Green
1037,Bowling Green State University
1038,Bowling Green University
1039,Bowsher
1040,Boyd County
1041,Boyertown Area High School
1042,Boylan Catholic
1043,Boyle County
1044,Boyle County High School
1045,Boynton
1046,Boys Latin School
1047,Boys and Girls
1048,Bozeman
1049,Braddock
1050,Braddock High School
1051,Bradenton
1052,Bradford
1053,Bradley
1054,Bradley Central
1055,Bradley University
1056,Bradley-Bourbonnais
1057,Bradshaw Christian
1058,Bradshaw Mountain
1059,Braggs
1060,Braintree
1061,Brandeis
1062,Brandeis High School
1063,Brandeis University
1064,Brandon High School
1065,Brandywine
1066,Brandywine Junior College
1067,Branford
1068,Branham
1069,Branson
1070,Brashear
1071,Brawley Union
1072,Brazil
1073,Brazosport
1074,Brazoswood High School
1075,Brea-Olinda
1076,Brea-Olinda High School
1077,Breaux Bridge
1078,Breckenridge
1079,Brecksville-Broadview Heights
1080,Bremen High School
1081,Bremerton
1082,Brenham High School
1083,Brennan
1084,Brentwood
1085,Brentwood Academy
1086,Brentwood High School
1087,Brentwood School
1088,Brescia University
1089,Brethren
1090,Brethren Christian
1091,Brevard College
1092,Brevard Community College
1093,Brewer
1094,Brewer High School
1095,Brewer State Junior College
1096,Brewster
1097,Brewton-Parker College
1098,Briarcliff
1099,Briarcliffe College
1100,Briarcrest Christian High School
1101,Brick Township
1102,Bricktown
1103,Bridge City High School
1104,Bridgeport
1105,Bridgeton
1106,Bridgewater
1107,Bridgewater College
1108,Bridgewater Raritan High School
1109,Bridgewater State College
1110,Bridgewater-Raynham Regional
1111,Bridgewater-Raynham Regional High School
1112,Bridgton Academy
1113,Briggs
1114,Brigham Young
1115,Brigham Young University
1116,Brigham Young University-Idaho
1117,Brighton
1118,Bristol
1119,Bristol Central
1120,Bristol Central High School
1121,Bristol Eastern
1122,British Columbia
1123,Brito Miami Private School
1124,Broad Run
1125,Broadmoor High School
1126,Broadneck
1127,Broadway
1128,Brock University
1129,Brockton
1130,Broken Arrow
1131,Broken Arrow HS
1132,Broken Arrow High School
1133,Broken Bow
1134,Bronson
1135,Bronx Community College
1136,Brook
1137,Brook Hill High School
1138,Brookdale Community College
1139,Brookdale JC
1140,Brooke Pointe High School
1141,Brookfield
1142,Brookhaven College
1143,Brookhaven High School
1144,Brookland-Cayce
1145,Brookland-Cayce High School
1146,Brookline
1147,Brooklyn
1148,Brooklyn Center
1149,Brooklyn College
1150,Brooklyn Park
1151,Brooklyn Tech
1152,Brooks County
1153,Brooks-DeBartolo Collegiate
1154,Brookston
1155,Brookstone
1156,Brookswood Secondary
1157,Brookswood Secondary School
1158,Brookville High School
1159,Brookwood High School
1160,Brookwood Prep
1161,Broome
1162,Broome Community College
1163,Broomfield
1164,Broomfield HS
1165,Brophy College Prep
1166,Brophy College Prep High School
1167,Brother Martin
1168,Brother Rice High School
1169,Broughton
1170,Broward College
1171,Broward JC
1172,Brown
1173,Brown County
1174,Brown University
1175,Browne
1176,Brownfield
1177,Brownsboro
1178,Brownsburg
1179,Brownstown
1180,Brownsville Area High School
1181,Brownsville High School
1182,Brownwood High School
1183,Brunswick
1184,Brunswick Community College
1185,Brunswick JC
1186,Brush
1187,Bryan
1188,Bryan Adarns
1189,Bryan County
1190,Bryan High School
1191,Bryan Station
1192,Bryant
1193,Bryant High School
1194,Bryant University
1195,Buchanan High School
1196,"Buchholz HS, Gainesville, Fla."
1197,Buchholz High School
1198,Buchser
1199,Buckeye
1200,Buckeye Central
1201,Buckeye Local
1202,Buckeye North
1203,Buckhannon-Upshur
1204,Buckingham Browne & Nichols
1205,Buckingham County
1206,Buckley High School
1207,Buckley Loda
1208,Bucknell
1209,Bucknell University
1210,Bucks County Community College
1211,Buena High School
1212,Buena Park
1213,Buena Park High School
