school_id,school_name
1,"Alexander Central HS, Taylorsville, N.C."
2,"Alexander HS, Laredo, Texas"
3,"Alonso HS, Tampa"
4,"American Heritage School, Plantation, Fla."
5,"Americas HS, El Paso"
6,"Amity Regional HS, Woodbridge, Conn."
7,"Andrew HS, Tinley Park, Ill."
8,"Baldwin HS, Wailuku, Hawaii"
9,"Basha HS, Chandler, Ariz."
10,"Beckman HS, Irvine, Calif."
11,"Beltran Baseball Academy, Florida, P.R."
12,"Big Walnut HS, Sunbury, Ohio"
13,"Blue Valley North HS, Overland Park, Kan."
14,"Brookwood HS, Snellville, Ga."
15,"Calvary Christian Academy, Fort Lauderdale"
16,"Calvary Christian HS, Clearwater, Fla."
17,"Camuy, P.R."
18,"Canterbury School, Fort Myers, Fla."
19,"Carson HS, China Grove, N.C."
20,"Cathedral HS, Indianapolis"
21,"Central Catholic HS, Lawrence, Mass."
22,"Cocalico HS, Denver, Pa."
23,"Colonel Richardson HS, Federalsburg, Md."
24,"Corner HS, Dora, Ala."
25,"Craig HS, Janesville, Wis."
26,"Cross Creek HS, Augusta, Ga."
27,"Decatur Central HS, Indianapolis"
28,"Eagles Landing HS, McDonough, Ga."
29,"East Bladen HS, Elizabethtown, N.C."
30,"Eastern Regional HS, Voorhees Township, N.J."
31,"Eau Gallie HS, Melbourne, Fla."
32,"Edison HS, Huntington Beach, Calif."
33,"El Dorado HS, Placentia, Calif."
34,"Encinal HS, Alameda, Calif."
35,"Episcopal HS, Bellaire, Texas"
36,"Evangelical Christian School, Fort Myers, Fla."
37,"Foothill HS, Pleasanton, Calif."
38,"Foothills Composite HS, Okotoks, Alb."
39,"Forsyth Central HS, Cumming, Ga."
40,"Garces Memorial HS, Bakersfield, Calif."
41,"Glenwood HS, Chatham, Ill."
42,"Graham Collegiate HS, Saskatoon, Sask."
43,"Great Oak HS, Temecula, Calif."
44,"Hanover HS, Mechanicsville, Va."
45,"Harrison Central HS, Gulfport, Miss."
46,"Hart HS, Santa Clarita, Calif."
47,"Heritage HS, Conyers, Ga."
48,"Heritage HS, Littleton, Colo."
49,"Heritage HS, Ringgold, Ga."
50,"Hickman HS, Columbia, Mo."
51,"Hickory Ridge HS, Harrisburg, N.C."
52,"Holt HS, Wentzville, Mo."
53,"Holy Cross HS, Flushing, N.Y."
54,"Holy Trinity Catholic SS, Oakville, Ont."
55,"Homewood-Flossmoor HS, Flossmoor, Ill."
56,"Howell North HS, St. Charles, Mo."
57,"IMG Academy, Bradenton, Fla."
58,"Interlake HS, Bellevue, Wash."
59,"International Baseball Academy, Ceiba, P.R."
60,"Jefferson HS, Cedar Rapids, Iowa"
61,"Jefferson HS, Tampa"
62,"Jenkins HS, Lakeland, Fla."
63,"Jesuit HS, Tampa"
64,"Juanita HS, Kirkland, Wash."
65,"Karns HS, Knoxville"
66,"Kempner HS, Sugar Land, Texas"
67,"Kentridge HS, Kent, Wash."
68,"King HS, Riverside, Calif."
69,"Kings Way Christian Schools, Vancouver, Wash."
70,"Lake Norman HS, Mooresville, N.C."
71,"Lakewood Ranch HS, Bradenton, Fla."
72,"Lakota West HS, West Chester, Ohio"
73,"Lamar HS, Arlington, Texas"
74,"Langham Creek HS, Houston"
75,"Leadership Christian Academy, Guaynabo, P.R."
76,"Lee HS, Midland, Texas"
77,"Liberty Christian HS, Argyle, Texas"
78,"Liberty HS, Bakersfield, Calif."
79,"Linfield Christian School, Temecula, Calif."
80,"Maine East HS, Park Ridge, Ill."
81,"Medina HS, Yabucoa, P.R."
82,"Middletown North HS, Middletown, N.J."
83,"Mill Creek HS, Hoschton, Ga."
84,"Mission Hills HS, San Marcos, Calif."
85,"Mount Carmel HS, Chicago"
86,"Mountain View HS, Lawrenceville, Ga."
87,"Muhlenburg HS, Laureldale, Pa."
88,"Nettleton HS, Jonesboro, Ark."
89,"Next Level Academy, Montgomery, Ala."
90,"Niles North HS, Skokie, Ill."
91,"North Shore HS, Houston"
92,"Northgate HS, Walnut Creek, Calif."
93,"OConnor HS, Phoenix"
94,"Our Lady of Providence HS, Clarksville, Ind."
